Id_Indice;AnoMes;indice_jse
1;20021;10025.45
2;20022;10632.71
3;20023;10766.34
4;20024;10660.26
5;20025;10798.01
6;20026;10233.44
7;20027;8768.15
8;20028;9225.96
9;20029;8991.75
10;200210;8850.29
11;200211;8991.88
12;200212;8682.03
13;20031;8183.21
14;20032;7796.61
15;20033;7095.78
16;20034;6924.49
17;20035;7940.13
18;20036;7680.74
19;20037;8088.21
20;20038;8470.33
21;20039;8167.00
22;200310;8966.62
23;200311;8884.73
24;200312;9495.76
25;20041;9953.72
26;20042;10005.41
27;20043;9773.27
28;20044;9455.17
29;20045;9525.95
30;20046;9200.62
31;20047;9405.23
32;20048;10242.00
33;20049;10780.46
34;200410;10556.09
35;200411;11283.33
36;200412;11405.72
37;20051;11530.91
38;20052;12188.73
39;20053;12083.30
40;20054;11324.02
41;20055;12518.60
42;20056;12859.20
43;20057;13725.80
44;20058;13949.50
45;20059;15363.60
46;200510;14946.05
47;200511;15228.83
48;200512;16438.05
49;20061;17886.18
50;20062;17125.19
51;20063;18314.78
52;20064;19074.99
53;20065;18660.12
54;20066;19538.32
55;20067;19127.38
56;20068;20093.68
57;20069;20495.74
58;200610;21298.54
59;200611;21758.65
60;200612;22607.16
61;20071;22941.71
62;20072;23176.03
63;20073;24590.20
64;20074;25231.65
65;20075;25701.40
66;20076;25564.57
67;20077;25846.41
68;20078;25983.13
69;20079;27267.58
70;200710;28477.05
71;200711;27629.35
72;200712;26250.29
73;20081;25117.79
74;20082;28347.86
75;20083;27409.99
76;20084;28675.37
77;20085;29939.96
78;20086;28708.09
79;20087;25779.21
80;20088;25556.75
81;20089;21746.97
82;200810;19080.13
83;200811;19346.28
84;200812;19444.40
85;20091;18519.77
86;20092;16514.30
87;20093;18441.62
88;20094;18514.32
89;20095;20605.38
90;20096;19819.52
91;20097;21855.80
92;20098;22388.89
93;20099;22284.39
94;200910;23655.66
95;200911;24357.77
96;200912;24996.97
97;20101;24041.26
98;20102;23994.59
99;20103;25833.44
100;20104;25629.93
101;20105;24157.99
102;20106;23294.83
103;20107;25224.60
104;20108;24127.05
105;20109;26154.31
106;201010;27053.68
107;201011;26844.52
108;201012;28639.40
109;20111;28145.34
110;20112;29077.83
111;20113;29037.48
112;20114;29564.28
113;20115;29274.06
114;20116;28551.82
115;20117;27857.91
116;20118;27682.28
117;20119;26375.82
118;201110;29019.06
119;201111;29429.88
120;201112;28469.81
121;20121;30176.19
122;20122;30546.69
123;20123;29603.42
124;20124;30364.59
125;20125;29201.90
126;20126;29638.01
127;20127;30386.61
128;20128;31172.74
129;20129;31518.32
130;201210;33008.20
131;201211;33872.69
132;201212;34795.50
133;20131;36103.45
134;20132;35254.76
135;20133;35259.10
136;20134;34068.00
137;20135;37599.86
138;20136;35051.49
139;20137;36843.05
140;20138;37863.93
141;20139;39449.84
142;201310;40658.55
143;201311;40169.32
144;201312;41482.39
145;20141;40586.73
146;20142;42771.61
147;20143;42996.63
148;20144;43804.68
149;20145;44641.55
150;20146;45969.81
151;20147;46222.43
152;20148;45630.44
153;20149;44160.31
154;201410;44384.99
155;201411;44205.76
156;201412;43969.96
157;20151;45111.03
158;20152;47161.83
159;20153;46016.98
160;20154;48195.48
161;20155;46285.65
162;20156;46141.59
163;20157;46557.26
164;20158;44350.11
165;20159;44881.18
166;201510;48317.45
167;201511;46329.56
168;201512;45797.30
169;20161;44065.55
170;20162;43802.56
171;20163;46139.99
172;20164;46471.00
173;20165;47974.09
174;20166;45974.31
175;20167;45916.48
176;20168;46261.02
177;20169;45425.59
178;201610;44019.39
179;201611;43691.42
180;201612;43901.99
181;20171;45928.70
182;20172;44131.37
183;20173;45167.15
184;20174;47071.73
185;20175;47153.91
186;20176;45421.76
187;20177;48873.13
188;20178;49997.27
189;20179;49376.46
190;201710;52570.20
191;201711;53269.83
192;201712;52533.04
193;20181;52614.65
194;20182;51383.45
195;20183;48794.50
196;20184;51419.22
197;20185;49783.92
198;20186;51516.06
199;20187;51315.00
200;20188;52464.01
201;20189;49520.66
202;201810;46141.22
203;201811;44656.89
204;201812;46726.59
205;20191;47955.98
206;20192;49667.10
207;20193;50273.93
208;20194;52274.03
209;20195;49587.47
210;20196;52198.94
211;20197;50798.70
212;20198;49320.23
213;20199;48813.59
214;201910;50168.48
215;201911;49093.16
216;201912;50816.05
217;20201;50072.61
218;20202;45851.76
219;20203;40738.57
220;20204;46348.26
221;20205;46544.79
222;20206;50174.95
223;20207;51368.82
224;20208;51225.46
225;20209;50042.44
226;202010;47472.92
227;202011;52375.50
228;202012;54379.58
229;20211;57312.45
230;20212;60754.30
231;20213;60881.15
232;20214;61096.37
233;20215;61782.86
234;20216;60161.76
235;20217;62852.28
236;20218;61039.26
237;20219;57863.40
238;202110;60807.87
239;202111;64063.82
240;202112;67052.40
241;20221;67820.89
242;20222;69624.29
243;20223;68507.85
244;20224;65475.55
245;20225;65431.16
246;20226;60109.04
247;20227;62473.81
248;20228;60735.70
249;20229;57389.70
250;202210;60030.53
251;202211;68564.29
252;202212;66955.47
253;20231;73431.04
254;20232;71693.89
255;20233;70497.70
256;20234;72582.82
257;20235;69997.84
258;20236;70705.47
259;20237;73634.07
260;20238;69278.44
261;20239;66500.11
262;202310;63873.91
263;202311;69647.14
264;202312;70494.80
265;20241;68034.46
266;20242;66349.81
267;20243;68346.21
268;20244;69924.83
269;20245;70455.35
270;20246;72979.42
271;20247;75661.56
272;20248;76290.35
;;
