Id_Indice;AnoMes;vl_ipc
1;20021;6927.87
2;20022;6734.44
3;20023;7361.86
4;20024;7480.74
5;20025;7031.64
6;20026;6460.95
7;20027;6021.84
8;20028;6216.43
9;20029;5728.46
10;200210;5967.73
11;200211;6156.83
12;200212;6127.09
13;20031;5954.35
14;20032;5927.06
15;20033;5914.03
16;20034;6509.88
17;20035;6699.18
18;20036;7054.99
19;20037;7355.07
20;20038;7591.42
21;20039;7822.48
22;200310;8064.83
23;200311;8554.48
24;200312;8795.28
25;20041;9428.77
26;20042;9991.80
27;20043;10517.50
28;20044;9948.13
29;20045;10036.29
30;20046;10281.82
31;20047;10116.39
32;20048;10264.32
33;20049;10957.37
34;200410;11564.35
35;200411;12102.55
36;200412;12917.88
37;20051;13097.12
38;20052;13789.46
39;20053;12676.90
40;20054;12322.99
41;20055;12964.39
42;20056;13486.13
43;20057;14409.66
44;20058;14243.19
45;20059;16120.08
46;200510;15759.73
47;200511;16830.96
48;200512;17802.71
49;20061;18907.10
50;20062;18706.32
51;20063;19272.63
52;20064;20646.19
53;20065;18677.92
54;20066;19147.17
55;20067;20095.93
56;20068;21049.35
57;20069;21937.11
58;200610;23046.95
59;200611;24962.01
60;200612;26448.32
61;20071;27561.49
62;20072;26638.95
63;20073;28747.69
64;20074;28996.71
65;20075;31398.96
66;20076;31151.05
67;20077;30659.66
68;20078;30347.86
69;20079;30296.19
70;200710;31458.67
71;200711;29770.52
72;200712;29536.83
73;20081;28793.64
74;20082;28918.52
75;20083;30912.99
76;20084;30281.41
77;20085;31975.47
78;20086;29395.49
79;20087;27501.02
80;20088;26290.99
81;20089;24888.90
82;200810;20445.32
83;200811;20534.72
84;200812;22380.32
85;20091;19565.14
86;20092;17752.18
87;20093;19626.75
88;20094;21898.85
89;20095;24331.71
90;20096;24368.38
91;20097;27043.50
92;20098;28129.95
93;20099;29232.24
94;200910;28646.03
95;200911;30957.11
96;200912;32120.47
97;20101;30391.61
98;20102;31634.54
99;20103;33266.43
100;20104;32687.32
101;20105;32038.53
102;20106;31156.97
103;20107;32308.74
104;20108;31679.85
105;20109;33330.34
106;201010;35568.22
107;201011;36817.32
108;201012;38550.79
109;20111;36982.24
110;20112;37019.70
111;20113;37440.51
112;20114;36962.62
113;20115;35832.79
114;20116;36558.07
115;20117;35999.34
116;20118;35721.10
117;20119;33503.28
118;201110;36159.99
119;201111;36829.15
120;201112;37077.52
121;20121;37422.68
122;20122;37816.69
123;20123;39521.24
124;20124;39461.00
125;20125;37872.95
126;20126;40199.55
127;20127;40704.28
128;20128;39421.65
129;20129;40866.96
130;201210;41619.96
131;201211;41833.52
132;201212;43705.83
133;20131;45278.06
134;20132;44120.99
135;20133;44077.09
136;20134;42263.48
137;20135;41588.32
138;20136;40623.30
139;20137;40837.88
140;20138;39492.37
141;20139;40185.23
142;201310;41038.65
143;201311;42499.13
144;201312;42727.09
145;20141;40879.75
146;20142;38782.89
147;20143;40461.60
148;20144;40711.56
149;20145;41362.51
150;20146;42737.17
151;20147;43817.69
152;20148;45628.09
153;20149;44985.66
154;201410;45027.52
155;201411;44190.47
156;201412;43145.66
157;20151;40950.58
158;20152;44190.17
159;20153;43724.78
160;20154;44582.39
161;20155;44703.62
162;20156;45053.70
163;20157;44752.93
164;20158;43721.96
165;20159;42632.54
166;201510;44542.76
167;201511;43418.55
168;201512;42977.50
169;20161;43630.77
170;20162;43714.93
171;20163;45881.08
172;20164;45784.77
173;20165;45459.45
174;20166;45966.49
175;20167;46660.67
176;20168;47541.32
177;20169;47245.80
178;201610;48009.28
179;201611;45285.50
180;201612;45642.90
181;20171;47001.06
182;20172;46856.79
183;20173;48541.56
184;20174;49261.33
185;20175;48788.44
186;20176;49857.49
187;20177;51011.87
188;20178;51210.48
189;20179;50346.06
190;201710;48625.53
191;201711;47092.44
192;201712;49354.42
193;20181;50456.17
194;20182;47437.93
195;20183;46124.85
196;20184;48358.16
197;20185;44662.55
198;20186;47663.20
199;20187;49698.01
200;20188;49547.68
201;20189;49504.16
202;201810;43942.55
203;201811;41732.78
204;201812;41640.27
205;20191;43987.94
206;20192;42823.81
207;20193;43281.28
208;20194;44597.32
209;20195;42749.16
210;20196;43161.17
211;20197;40863.09
212;20198;42622.50
213;20199;43011.27
214;201910;43337.28
215;201911;42820.18
216;201912;43541.02
217;20201;44108.31
218;20202;41324.31
219;20203;34554.53
220;20204;36470.11
221;20205;36122.73
222;20206;37716.43
223;20207;37019.68
224;20208;36840.73
225;20209;37458.69
226;202010;36987.86
227;202011;41778.87
228;202012;44066.88
229;20211;42985.73
230;20212;44592.91
231;20213;47246.26
232;20214;48009.72
233;20215;50885.95
234;20216;50289.75
235;20217;50868.32
236;20218;53304.74
237;20219;51385.55
238;202110;51309.84
239;202111;49698.72
240;202112;53272.44
241;20221;51330.85
242;20222;53400.61
243;20223;56536.68
244;20224;51417.97
245;20225;51752.53
246;20226;47524.45
247;20227;48144.33
248;20228;44919.22
249;20229;44626.80
250;202210;49922.30
251;202211;51684.86
252;202212;48463.86
253;20231;54564.27
254;20232;52758.06
255;20233;53904.00
256;20234;55121.22
257;20235;52736.26
258;20236;53526.10
259;20237;54819.05
260;20238;53020.98
261;20239;50874.98
262;202310;49061.88
263;202311;54060.01
264;202312;57386.25
265;20241;57372.76
266;20242;55414.00
267;20243;57369.01
268;20244;56727.98
269;20245;55179.24
270;20246;52440.02
271;20247;53093.97
272;20248;51985.87
